UID	tcga_15_1444_01a_02r_1850_01_bed	tcga_27_1834_01a_01r_1850_01_bed	tcga_28_5216_01a_01r_1850_01_bed	tcga_28_5215_01a_01r_1850_01_bed	tcga_26_5135_01a_01r_1850_01_bed	tcga_12_0616_01a_01r_1849_01_bed	tcga_27_2521_01a_01r_1850_01_bed	tcga_06_0646_01a_01r_1849_01_bed	tcga_06_0158_01a_01r_1849_01_bed	tcga_32_2615_01a_01r_1850_01_bed	tcga_12_5299_01a_02r_1849_01_bed	tcga_06_2567_01a_01r_1849_01_bed	tcga_06_2564_01a_01r_1849_01_bed	tcga_06_0187_01a_01r_1849_01_bed	tcga_28_5220_01a_01r_1850_01_bed	tcga_06_2565_01a_01r_1849_01_bed	tcga_19_2629_01a_01r_1850_01_bed	tcga_76_4932_01a_01r_1850_01_bed	tcga_19_1390_01a_01r_1850_01_bed	tcga_06_5858_01a_01r_1849_01_bed	tcga_41_3915_01a_01r_1850_01_bed	tcga_27_2528_01a_01r_1850_01_bed	tcga_06_0190_01a_01r_1849_01_bed	tcga_06_5418_01a_01r_1849_01_bed	tcga_26_5132_01a_01r_1850_01_bed	tcga_76_4925_01a_01r_1850_01_bed	tcga_06_0210_01a_01r_1849_01_bed	tcga_19_2625_01a_01r_1850_01_bed	tcga_06_0878_01a_01r_1849_01_bed	tcga_76_4928_01b_01r_1850_01_bed	tcga_14_0789_01a_01r_1849_01_bed	tcga_28_2513_01a_01r_1850_01_bed	tcga_14_1034_01a_01r_1849_01_bed	tcga_06_0190_02a_01r_2005_01_bed	tcga_06_0644_01a_02r_1849_01_bed	tcga_14_0781_01b_01r_1849_01_bed	tcga_32_2616_01a_01r_1850_01_bed	tcga_12_3653_01a_01r_1849_01_bed	tcga_28_5209_01a_01r_1850_01_bed	tcga_28_2509_01a_01r_1850_01_bed	tcga_06_0211_01a_01r_1849_01_bed	tcga_06_5414_01a_01r_1849_01_bed	tcga_06_2569_01a_01r_1849_01_bed	tcga_32_5222_01a_01r_1850_01_bed	tcga_06_0157_01a_01r_1849_01_bed	tcga_27_1830_01a_01r_1850_01_bed	tcga_19_2619_01a_01r_1850_01_bed	tcga_06_0129_01a_01r_1849_01_bed	tcga_06_2557_01a_01r_1849_01_bed	tcga_06_5859_01a_01r_1849_01_bed	tcga_06_5413_01a_01r_1849_01_bed	tcga_28_1753_01a_01r_1850_01_bed	tcga_19_4065_01a_01r_2005_01_bed	tcga_26_5133_01a_01r_1850_01_bed	tcga_06_0171_02a_11r_2005_01_bed	tcga_19_1787_01b_01r_1850_01_bed	tcga_28_2499_01a_01r_1850_01_bed	tcga_76_4927_01a_01r_1850_01_bed	tcga_06_0210_02a_01r_2005_01_bed	tcga_32_2638_01a_01r_1850_01_bed	tcga_12_0619_01a_01r_1849_01_bed	tcga_32_2632_01a_01r_1850_01_bed	tcga_28_5208_01a_01r_1850_01_bed	tcga_28_5204_01a_01r_1850_01_bed	tcga_27_2523_01a_01r_1850_01_bed	tcga_06_0649_01b_01r_1849_01_bed	tcga_06_0125_01a_01r_1849_01_bed	tcga_06_0174_01a_01r_1849_01_bed	tcga_06_0125_02a_11r_2005_01_bed	tcga_08_0386_01a_01r_1849_01_bed	tcga_76_4929_01a_01r_1850_01_bed	tcga_06_0156_01a_03r_1849_01_bed	tcga_06_0156_01a_02r_1849_01_bed	tcga_14_1034_02b_01r_2005_01_bed	tcga_02_0055_01a_01r_1849_01_bed	tcga_06_2563_01a_01r_1849_01_bed	tcga_06_1804_01a_01r_1849_01_bed	tcga_02_2485_01a_01r_1849_01_bed	tcga_06_2562_01a_01r_1849_01_bed	tcga_06_2570_01a_01r_1849_01_bed	tcga_06_0645_01a_01r_1849_01_bed	tcga_06_5412_01a_01r_1849_01_bed	tcga_06_0744_01a_01r_1849_01_bed	tcga_26_5139_01a_01r_1850_01_bed	tcga_14_2554_01a_01r_1850_01_bed	tcga_12_0821_01a_01r_1849_01_bed	tcga_06_5410_01a_01r_1849_01_bed	tcga_28_1747_01c_01r_1850_01_bed	tcga_06_0211_01b_01r_1849_01_bed	tcga_06_0211_02a_02r_2005_01_bed	tcga_16_1045_01b_01r_1850_01_bed	tcga_06_2559_01a_01r_1849_01_bed	tcga_06_0747_01a_01r_1849_01_bed	tcga_19_2620_01a_01r_1850_01_bed	tcga_28_5218_01a_01r_1850_01_bed	tcga_06_0130_01a_01r_1849_01_bed	tcga_12_5295_01a_01r_1849_01_bed	tcga_06_0184_01a_01r_1849_01_bed	tcga_27_2524_01a_01r_1850_01_bed	tcga_27_1832_01a_01r_1850_01_bed	tcga_19_1389_02a_21r_2005_01_bed	tcga_14_0790_01b_01r_1849_01_bed	tcga_02_2486_01a_01r_1849_01_bed	tcga_41_2572_01a_01r_1850_01_bed	tcga_27_1837_01a_01r_1850_01_bed	tcga_14_0817_01a_01r_1849_01_bed	tcga_12_3650_01a_01r_1849_01_bed	tcga_06_0141_01a_01r_1849_01_bed	tcga_14_0787_01a_01r_1849_01_bed	tcga_27_2519_01a_01r_1850_01_bed	tcga_15_0742_01a_01r_1850_01_bed	tcga_06_0743_01a_01r_1849_01_bed	tcga_06_0745_01a_01r_1849_01_bed	tcga_06_0678_11a_32r_a36h_07_bed	tcga_06_0681_11a_41r_a36h_07_bed	tcga_06_0680_11a_32r_a36h_07_bed	tcga_06_0675_11a_32r_a36h_07_bed	tcga_32_1980_01a_01r_1850_01_bed	tcga_06_0132_01a_02r_1849_01_bed	tcga_06_0221_02a_11r_2005_01_bed	tcga_06_5411_01a_01r_1849_01_bed	tcga_28_2510_01a_01r_1850_01_bed	tcga_06_aabw_11a_31r_a36h_07_bed	tcga_06_0749_01a_01r_1849_01_bed	tcga_12_0618_01a_01r_1849_01_bed	tcga_28_5207_01a_01r_1850_01_bed	tcga_19_4065_02a_11r_2005_01_bed	tcga_41_2571_01a_01r_1850_01_bed	tcga_06_0238_01a_02r_1849_01_bed	tcga_12_1597_01b_01r_1849_01_bed	tcga_06_0168_01a_01r_1849_01_bed	tcga_14_0736_02a_01r_2005_01_bed	tcga_14_0871_01a_01r_1849_01_bed	tcga_06_0139_01a_01r_1849_01_bed	tcga_14_1829_01a_01r_1850_01_bed	tcga_27_1831_01a_01r_1850_01_bed	tcga_16_0846_01a_01r_1850_01_bed	tcga_06_0219_01a_01r_1849_01_bed	tcga_06_0686_01a_01r_1849_01_bed	tcga_06_0178_01a_01r_1849_01_bed	tcga_06_0138_01a_02r_1849_01_bed	tcga_32_1982_01a_01r_1850_01_bed	tcga_26_5136_01b_01r_1850_01_bed	tcga_14_1402_02a_01r_2005_01_bed	tcga_26_5134_01a_01r_1850_01_bed	tcga_14_1825_01a_01r_1850_01_bed	tcga_06_5417_01a_01r_1849_01_bed	tcga_32_4213_01a_01r_1850_01_bed	tcga_06_0750_01a_01r_1849_01_bed	tcga_12_3652_01a_01r_1849_01_bed	tcga_14_1823_01a_01r_1849_01_bed	tcga_27_1835_01a_01r_1850_01_bed	tcga_28_5213_01a_01r_1850_01_bed	tcga_27_2526_01a_01r_1850_01_bed	tcga_32_2634_01a_01r_1850_01_bed	tcga_76_4931_01a_01r_1850_01_bed	tcga_41_4097_01a_01r_1850_01_bed	tcga_32_1970_01a_01r_1850_01_bed	tcga_06_2561_01a_02r_1849_01_bed	tcga_06_5416_01a_01r_1849_01_bed	tcga_02_2483_01a_01r_1849_01_bed	tcga_19_0957_02a_11r_2005_01_bed	tcga_02_0047_01a_01r_1849_01_bed	tcga_19_5960_01a_11r_1850_01_bed	tcga_06_0882_01a_01r_1849_01_bed	tcga_06_0152_02a_01r_2005_01_bed	tcga_06_2558_01a_01r_1849_01_bed	tcga_19_2624_01a_01r_1850_01_bed	tcga_41_5651_01a_01r_1850_01_bed	tcga_26_1442_01a_01r_1850_01_bed	tcga_06_5856_01a_01r_1849_01_bed	tcga_06_5408_01a_01r_1849_01_bed	tcga_28_2514_01a_02r_1850_01_bed	tcga_76_4926_01b_01r_1850_01_bed
PISD:ENSG00000241878:E11.6-E12.1|ENSG00000241878:E3.1-E13.1	0.01	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	-0.0	0.04	0.03	0.01	0.01	0.01	-0.0	-0.0	-0.0	0.0	-0.0	0.04	-0.0	0.01	-0.0	0.01	0.01	0.01	-0.0	0.01	-0.0	-0.0	-0.0	0.06	0.0	-0.0	-0.0	-0.0	0.01	0.0	-0.0	-0.0	0.01	-0.0	-0.0	0.0	0.01	0.01	0.01	0.03	0.0	0.01	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.01	0.01	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.04	0.03	-0.0	0.01	-0.0	0.01	0.01	0.04	0.04	0.06	0.01	0.01	0.01	0.0	0.01	-0.0	0.01	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.04	0.01	0.06	-0.0	-0.0	-0.0	0.01	0.01	0.04	-0.0	-0.0	-0.0	0.01	-0.0	0.01	-0.0	-0.0	-0.0	0.03	0.01	-0.0	-0.0	0.11	0.33	0.32	0.37	0.29	0.19	0.24	0.22	0.31	0.22	0.27	0.01	0.04	0.19	0.0	0.08	0.01	-0.0	0.04	-0.0	-0.0	-0.0	-0.0	-0.0	0.06	0.06	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.04	0.01	-0.0	0.01	-0.0	0.03	0.01	0.01	0.0	0.01	0.01	0.01	0.01	-0.0	0.13	0.01	0.03	0.03	-0.0	0.01	-0.0	0.01	0.03	0.01	-0.0	0.06	0.04
NCAM1:ENSG00000149294:E88.2-E89.1|ENSG00000149294:E87.1-E89.1	0.03	0.02	0.02	0.02	0.02	0.00	0.03	0.02	0.0	0.05	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.00	0.0	-0.0	0.0	-0.0	0.02	0.0	0.00	0.00	-0.0	0.05	-0.0	0.0	0.00	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.02	0.00	-0.0	0.05	0.03	0.06	-0.0	-0.0	-0.0	0.00	0.00	-0.0	0.05	0.0	0.02	-0.0	-0.0	0.0	-0.0	-0.0	0.05	0.0	0.0	-0.0	0.00	-0.0	0.00	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	0.00	-0.0	-0.0	-0.0	-0.0	0.02	0.0	-0.0	0.06	-0.0	-0.0	0.00	0.31	0.27	0.31	0.3	0.21	0.22	0.08	0.25	0.18	0.38	0.12	0.11	0.03	0.19	0.16	0.13	0.06	0.06	0.06	-0.0	-0.0	0.0	0.09	0.03	0.00	0.06	0.06	0.03	-0.0	-0.0	0.03	0.0	0.05	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.02	0.02	0.05	0.00	0.00	0.03	0.02	0.09	0.06	0.06	0.0	0.06	0.0	0.03	0.06	0.02	0.09	-0.0	-0.0	0.0	0.06
FAM92A:ENSG00000188343:E7.1-E8.1|ENSG00000188343:E4.1-E8.1	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.03	0.0	0.00	0.00	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.00	-0.0	0.00	-0.0	0.0	0.0	-0.0	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	0.00	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.02	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.02	0.0	0.02	0.00	0.0	-0.0	0.00	0.00	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.00	-0.0	0.0	0.03	0.0	0.03	0.05	0.0	0.02	0.03	0.0	0.02	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.00	0.0	0.0	-0.0	0.25	0.31	0.26	0.3	0.09	0.15	0.16	0.21	0.16	0.24	0.09	0.11	0.09	0.03	0.02	0.02	0.05	0.00	0.09	-0.0	-0.0	-0.0	-0.0	0.06	0.0	0.0	0.0	0.00	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.02	-0.0	0.03	0.0	-0.0	0.05	0.00	0.00	0.03	0.0	0.00	0.02	-0.0	0.0	0.00	0.06	-0.0	0.03	0.19	0.06	0.06	0.00
FAM92A:ENSG00000188343:E4.1-E7.1|ENSG00000188343:E4.1-E8.1	0.01	-0.0	-0.0	0.01	-0.0	0.0	0.01	0.01	0.06	0.0	0.0	0.01	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	0.0	0.01	-0.0	0.03	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.03	0.01	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.04	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	-0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.04	0.01	0.04	0.0	0.0	0.01	0.01	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.01	-0.0	0.0	0.01	0.01	-0.0	-0.0	0.29	0.33	0.29	0.29	0.18	0.12	0.15	0.22	0.15	0.19	0.07	0.1	0.07	0.01	0.06	0.06	0.03	0.01	0.1	-0.0	-0.0	-0.0	-0.0	0.06	0.01	0.01	-0.0	0.01	-0.0	-0.0	0.0	-0.0	0.01	-0.0	-0.0	-0.0	0.0	0.01	-0.0	-0.0	0.0	0.03	0.01	0.01	0.04	0.0	0.03	0.03	0.01	0.04	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.19	0.09	0.12	0.01
SLC25A25:ENSG00000148339:E23.1-E24.1|ENSG00000148339:E23.1-E25.1	0.01	0.01	-0.0	0.01	0.0	0.01	-0.0	0.01	0.01	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.01	-0.0	-0.0	0.01	-0.0	0.01	0.0	0.0	0.01	0.01	-0.0	0.0	0.01	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.04	-0.0	-0.0	0.0	0.04	0.01	0.01	0.04	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.01	0.01	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.08	0.03	0.04	0.06	0.09	0.04	0.01	0.04	0.01	0.04	0.04	-0.0	0.01	0.01	0.0	0.01	-0.0	0.01	-0.0	0.03	0.03	0.03	0.01	0.04	-0.0	-0.0	-0.0	0.01	0.01	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.01	-0.0	0.04	0.03	-0.0	-0.0	-0.0	0.27	0.16	0.35	0.25	0.12	0.31	0.26	0.24	0.08	0.04	0.19	0.24	0.22	0.18	0.3	0.04	0.21	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.06	-0.0	-0.0	-0.0	0.04	-0.0	-0.0	0.04	-0.0	0.04	-0.0	-0.0	-0.0	0.0	-0.0	0.03	0.01	-0.0	0.08	0.04	-0.0	0.06	0.06	0.08	0.08	0.07	0.01	0.01	0.03	-0.0	0.06	0.08	0.04	0.04	0.07	0.13	0.16	0.04
APP:ENSG00000142192:E10.2-E14.1|ENSG00000142192:E10.2-E12.1	0.02	-0.0	-0.0	0.01	0.04	0.04	0.01	0.03	0.02	0.02	0.01	0.03	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.06	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.01	0.0	-0.0	0.04	0.06	0.01	-0.0	0.03	0.02	-0.0	0.0	-0.0	-0.0	0.0	0.02	0.0	-0.0	-0.0	-0.0	0.03	0.0	0.0	-0.0	-0.0	0.11	-0.0	-0.0	0.04	0.04	0.04	0.0	-0.0	-0.0	0.02	0.04	0.0	0.02	0.02	-0.0	0.02	0.0	0.0	0.03	-0.0	0.02	0.02	0.01	0.03	0.02	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.01	-0.0	0.07	-0.0	0.02	0.04	0.05	0.0	0.02	0.27	0.29	0.3	0.31	0.12	0.1	0.27	0.24	0.21	0.09	0.12	0.17	0.14	0.1	0.25	0.14	0.15	0.03	0.02	-0.0	-0.0	0.0	-0.0	0.02	0.05	0.07	0.01	0.02	-0.0	-0.0	0.03	0.05	0.04	0.04	-0.0	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	0.07	0.05	0.0	0.0	-0.0	0.05	0.05	0.06	0.03	0.04	0.01	0.02	0.06	0.16	0.06	0.03	-0.0	0.2	0.05	0.06
ADGRL3:ENSG00000150471:E28.1-E30.1|ENSG00000150471:E28.1-E31.1	0.0	0.0	0.01	0.0	0.02	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.02	0.01	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.01	0.01	-0.0	0.0	0.03	0.01	-0.0	0.0	0.02	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	0.0	-0.0	0.0	0.02	-0.0	0.16	0.03	0.0	0.0	-0.0	0.01	0.01	0.03	0.08	-0.0	-0.0	0.03	0.01	0.02	-0.0	0.06	0.08	0.03	-0.0	0.01	-0.0	0.07	0.01	-0.0	-0.0	0.02	0.04	-0.0	0.01	-0.0	-0.0	0.04	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	0.01	0.07	0.0	-0.0	0.0	0.31	0.25	0.37	0.38	0.07	0.2	0.08	0.18	0.13	0.22	0.11	0.09	0.28	0.29	0.08	0.06	0.18	0.14	-0.0	-0.0	-0.0	0.04	-0.0	0.01	-0.0	0.01	-0.0	-0.0	0.07	-0.0	0.03	0.03	0.05	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	0.02	0.03	0.03	0.06	-0.0	0.07	0.01	0.01	0.04	-0.0	0.01	0.03	0.01	-0.0	0.02	0.1	0.14	0.1	0.16
KIF21A:ENSG00000139116:E31.1-E32.1|ENSG00000139116:E29.2-E33.2	0.02	0.00	-0.0	0.00	0.01	0.08	-0.0	0.00	0.01	0.00	0.01	-0.0	0.00	-0.0	0.00	-0.0	0.00	-0.0	-0.0	0.00	-0.0	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.00	0.00	0.02	0.01	-0.0	0.00	0.01	-0.0	-0.0	-0.0	0.00	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	0.01	0.08	0.00	0.01	0.02	0.03	-0.0	0.01	0.02	-0.0	0.03	0.00	0.02	0.01	0.00	0.01	0.02	0.02	0.02	0.02	0.00	-0.0	0.01	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.04	-0.0	0.02	-0.0	-0.0	0.00	0.00	-0.0	-0.0	0.22	0.23	0.22	0.23	0.21	0.13	0.08	0.21	0.21	0.09	0.12	0.03	0.01	0.19	0.07	0.01	-0.0	-0.0	0.13	-0.0	-0.0	-0.0	-0.0	-0.0	0.05	-0.0	-0.0	-0.0	-0.0	-0.0	0.02	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	0.00	0.01	0.00	0.00	-0.0	0.01	0.02	0.03	0.00	0.07	0.05	0.03	0.01	0.01	0.02	-0.0	-0.0	0.07	0.02
NRCAM:ENSG00000091129:E38.1-E43.1|ENSG00000091129:E37.1-E43.1	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.02	0.0	0.00	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.00	0.0	0.0	0.0	0.0	0.0	0.00	0.00	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.00	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.03	-0.0	0.00	0.00	0.0	0.0	0.00	0.02	0.0	-0.0	0.00	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.00	-0.0	0.00	0.00	0.02	0.03	0.03	0.0	0.02	0.00	-0.0	0.03	0.00	0.0	-0.0	0.0	0.00	0.02	0.00	-0.0	0.0	0.0	0.0	0.0	-0.0	0.02	0.03	-0.0	-0.0	-0.0	0.02	0.06	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.06	0.02	0.00	-0.0	0.00	-0.0	0.02	0.02	0.2	0.3	0.31	0.29	0.08	0.12	0.15	0.15	0.16	0.15	0.08	0.06	0.03	0.08	0.03	0.06	0.03	0.05	0.09	-0.0	0.02	0.0	0.00	0.00	0.06	0.03	-0.0	-0.0	-0.0	0.02	0.02	-0.0	-0.0	-0.0	-0.0	0.03	0.0	0.00	-0.0	-0.0	0.00	0.03	0.00	0.0	0.00	-0.0	0.03	0.03	0.00	0.03	0.02	0.0	0.03	0.0	0.00	0.00	0.03	-0.0	0.0	0.03	0.0
RALGAPA1:ENSG00000174373:E56.2-E58.2|ENSG00000174373:E57.2-E60.1	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.01	0.01	0.02	0.05	0.01	0.02	0.0	0.0	0.03	0.0	0.02	0.0	0.0	0.03	0.0	0.03	0.04	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.01	0.0	0.0	0.19	0.2	0.2	0.17	0.22	0.2	0.1	0.16	0.15	0.05	0.06	0.01	0.07	0.16	0.0	0.04	0.02	0.0	0.2	0.09	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.01	0.08	0.0	0.03	0.0	0.0	0.01	0.0	0.05	0.03	0.04	0.01	0.01	0.03	0.01	0.0	0.09	0.02	0.06
DCTN1:ENSG00000204843:E13.4-E14.3|ENSG00000204843:E10.1-E14.3	0.20	0.04	0.06	0.11	0.20	0.11	0.02	-0.0	0.04	0.04	0.02	0.01	0.02	-0.0	0.00	-0.1	-0.1	-0.0	0.08	-0.0	-0.0	-0.1	-0.0	-0.0	-0.0	-0.1	-0.0	-0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.0	-0.1	-0.1	-0.0	-0.1	-0.1	-0.1	0.01	-0.0	-0.0	-0.0	0.04	0.04	0.03	0.03	0.02	-0.0	-0.0	0.04	0.00	0.07	0.05	0.01	-0.1	-0.0	-0.1	-0.1	-0.0	-0.0	-0.0	-0.0	0.07	-0.0	0.03	0.15	0.13	0.13	-0.1	-0.0	-0.0	0.04	0.04	-0.0	-0.0	0.03	-0.0	-0.0	-0.1	-0.1	-0.0	0.18	0.04	-0.0	-0.0	-0.0	0.09	-0.0	0.28	-0.1	-0.1	-0.1	0.02	0.00	0.06	-0.1	-0.1	0.01	-0.0	0.02	-0.0	0.07	0.02	-0.0	-0.0	-0.0	-0.0	-0.0	0.72	0.73	0.72	0.73	0.43	0.45	0.45	0.50	0.50	0.63	0.29	0.29	0.23	0.14	0.36	0.25	0.33	0.29	0.17	-0.2	0.17	-0.0	-0.2	0.05	0.07	0.19	0.10	0.12	-0.0	-0.1	-0.1	0.10	0.04	-0.0	-0.0	0.01	-0.1	-0.0	-0.0	-0.0	-0.1	0.09	0.08	0.10	-0.0	0.11	0.00	-0.0	0.45	0.17	-0.0	0.18	0.02	0.09	0.30	0.09	0.19	-0.1	-0.0	0.16	0.04
SHF:ENSG00000138606:E8.2-E9.1|ENSG00000138606:E6.4-E9.1	0.0	-0.1	0.03	0.06	0.09	0.0	0.02	-0.0	-0.0	-0.0	0.03	0.0	-0.0	-0.0	-0.1	-0.1	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.00	0.08	-0.0	-0.0	-0.0	-0.1	-0.0	-0.0	-0.1	-0.1	-0.1	-0.0	0.00	0.06	-0.0	-0.0	-0.1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.06	0.00	-0.0	0.09	0.06	-0.1	-0.1	-0.0	-0.0	0.19	-0.0	0.06	0.02	-0.0	0.05	0.06	-0.0	-0.0	-0.1	0.0	-0.0	0.09	0.02	0.29	-0.0	-0.0	0.08	-0.1	-0.0	0.0	0.08	-0.0	0.15	0.06	0.03	-0.0	-0.1	-0.0	-0.0	0.03	0.09	-0.0	-0.0	0.06	-0.0	-0.0	0.06	-0.0	-0.1	-0.0	-0.1	-0.0	-0.1	-0.0	-0.1	-0.0	-0.0	-0.0	0.05	-0.0	0.09	0.00	0.0	0.03	-0.0	-0.0	0.03	0.68	0.69	0.71	0.76	0.61	0.52	0.19	0.41	0.48	0.56	0.27	0.34	0.03	0.64	0.28	0.32	0.08	0.16	-0.0	-0.1	-0.1	-0.0	-0.1	0.08	0.03	0.2	0.05	0.02	0.11	0.29	0.06	0.0	0.02	0.18	0.08	-0.0	-0.0	-0.0	-0.0	-0.1	-0.0	0.09	0.03	0.13	-0.0	0.06	0.00	0.00	0.24	0.18	0.00	0.11	0.05	0.14	0.25	0.08	0.14	-0.0	-0.0	0.19	0.2
