uid	tcga_12_3653_01a_01r_1849_01_bed	tcga_02_2486_01a_01r_1849_01_bed	tcga_28_1747_01c_01r_1850_01_bed	tcga_06_aabw_11a_31r_a36h_07_bed	tcga_02_0055_01a_01r_1849_01_bed	tcga_27_1832_01a_01r_1850_01_bed	tcga_06_0190_02a_01r_2005_01_bed	tcga_06_0138_01a_02r_1849_01_bed	tcga_02_2485_01a_01r_1849_01_bed	tcga_28_5218_01a_01r_1850_01_bed	tcga_14_2554_01a_01r_1850_01_bed	tcga_14_0781_01b_01r_1849_01_bed	tcga_27_2528_01a_01r_1850_01_bed	tcga_06_0645_01a_01r_1849_01_bed	tcga_28_2513_01a_01r_1850_01_bed	tcga_28_5213_01a_01r_1850_01_bed	tcga_06_0646_01a_01r_1849_01_bed	tcga_06_0211_02a_02r_2005_01_bed	tcga_15_1444_01a_02r_1850_01_bed	tcga_14_0789_01a_01r_1849_01_bed	tcga_12_0616_01a_01r_1849_01_bed	tcga_28_5216_01a_01r_1850_01_bed	tcga_19_5960_01a_11r_1850_01_bed	tcga_06_5416_01a_01r_1849_01_bed	tcga_06_2567_01a_01r_1849_01_bed	tcga_06_5418_01a_01r_1849_01_bed	tcga_32_5222_01a_01r_1850_01_bed	tcga_27_1830_01a_01r_1850_01_bed	tcga_06_0158_01a_01r_1849_01_bed	tcga_32_2616_01a_01r_1850_01_bed	tcga_19_1787_01b_01r_1850_01_bed	tcga_06_2562_01a_01r_1849_01_bed	tcga_06_5411_01a_01r_1849_01_bed	tcga_06_0238_01a_02r_1849_01_bed	tcga_14_1825_01a_01r_1850_01_bed	tcga_28_2499_01a_01r_1850_01_bed	tcga_06_0681_11a_41r_a36h_07_bed	tcga_28_5215_01a_01r_1850_01_bed	tcga_76_4925_01a_01r_1850_01_bed	tcga_06_0747_01a_01r_1849_01_bed	tcga_06_0211_01a_01r_1849_01_bed	tcga_12_0619_01a_01r_1849_01_bed	tcga_06_0680_11a_32r_a36h_07_bed	tcga_28_5207_01a_01r_1850_01_bed	tcga_28_5204_01a_01r_1850_01_bed	tcga_32_4213_01a_01r_1850_01_bed	tcga_06_0219_01a_01r_1849_01_bed	tcga_27_1837_01a_01r_1850_01_bed	tcga_06_5417_01a_01r_1849_01_bed	tcga_06_0686_01a_01r_1849_01_bed	tcga_19_1389_02a_21r_2005_01_bed	tcga_06_0129_01a_01r_1849_01_bed	tcga_28_5209_01a_01r_1850_01_bed	tcga_14_0817_01a_01r_1849_01_bed	tcga_06_2569_01a_01r_1849_01_bed	tcga_06_0210_01a_01r_1849_01_bed	tcga_12_0821_01a_01r_1849_01_bed	tcga_14_1034_01a_01r_1849_01_bed	tcga_06_0187_01a_01r_1849_01_bed	tcga_28_2514_01a_02r_1850_01_bed	tcga_12_3650_01a_01r_1849_01_bed	tcga_27_2524_01a_01r_1850_01_bed	tcga_19_2629_01a_01r_1850_01_bed	tcga_06_5856_01a_01r_1849_01_bed	tcga_28_5220_01a_01r_1850_01_bed	tcga_32_1970_01a_01r_1850_01_bed	tcga_06_0744_01a_01r_1849_01_bed	tcga_12_5299_01a_02r_1849_01_bed	tcga_19_0957_02a_11r_2005_01_bed	tcga_06_0139_01a_01r_1849_01_bed	tcga_14_0787_01a_01r_1849_01_bed	tcga_06_0678_11a_32r_a36h_07_bed	tcga_06_0649_01b_01r_1849_01_bed	tcga_14_1829_01a_01r_1850_01_bed	tcga_27_1831_01a_01r_1850_01_bed	tcga_32_2632_01a_01r_1850_01_bed	tcga_06_5858_01a_01r_1849_01_bed	tcga_14_1823_01a_01r_1849_01_bed	tcga_26_5135_01a_01r_1850_01_bed	tcga_06_0750_01a_01r_1849_01_bed	tcga_06_0141_01a_01r_1849_01_bed	tcga_06_0749_01a_01r_1849_01_bed	tcga_26_5133_01a_01r_1850_01_bed	tcga_26_5136_01b_01r_1850_01_bed	tcga_14_0790_01b_01r_1849_01_bed	tcga_76_4929_01a_01r_1850_01_bed	tcga_28_5208_01a_01r_1850_01_bed	tcga_32_2615_01a_01r_1850_01_bed	tcga_06_2561_01a_02r_1849_01_bed	tcga_27_2526_01a_01r_1850_01_bed	tcga_76_4928_01b_01r_1850_01_bed	tcga_28_2510_01a_01r_1850_01_bed	tcga_15_0742_01a_01r_1850_01_bed	tcga_41_5651_01a_01r_1850_01_bed	tcga_14_1402_02a_01r_2005_01_bed	tcga_06_2570_01a_01r_1849_01_bed	tcga_06_0156_01a_03r_1849_01_bed	tcga_27_2523_01a_01r_1850_01_bed	tcga_16_1045_01b_01r_1850_01_bed	tcga_06_0743_01a_01r_1849_01_bed	tcga_19_2625_01a_01r_1850_01_bed	tcga_32_2634_01a_01r_1850_01_bed	tcga_41_3915_01a_01r_1850_01_bed	tcga_06_0211_01b_01r_1849_01_bed	tcga_27_2521_01a_01r_1850_01_bed	tcga_32_1980_01a_01r_1850_01_bed	tcga_06_2563_01a_01r_1849_01_bed	tcga_27_2519_01a_01r_1850_01_bed	tcga_28_1753_01a_01r_1850_01_bed	tcga_06_0745_01a_01r_1849_01_bed	tcga_06_5408_01a_01r_1849_01_bed	tcga_16_0846_01a_01r_1850_01_bed	tcga_06_2564_01a_01r_1849_01_bed	tcga_76_4927_01a_01r_1850_01_bed	tcga_06_2557_01a_01r_1849_01_bed	tcga_06_2565_01a_01r_1849_01_bed	tcga_76_4931_01a_01r_1850_01_bed	tcga_06_0221_02a_11r_2005_01_bed	tcga_76_4926_01b_01r_1850_01_bed	tcga_12_1597_01b_01r_1849_01_bed	tcga_27_1834_01a_01r_1850_01_bed	tcga_06_0168_01a_01r_1849_01_bed	tcga_14_0871_01a_01r_1849_01_bed	tcga_06_0132_01a_02r_1849_01_bed	tcga_06_5414_01a_01r_1849_01_bed	tcga_12_5295_01a_01r_1849_01_bed	tcga_19_2620_01a_01r_1850_01_bed	tcga_32_2638_01a_01r_1850_01_bed	tcga_06_0878_01a_01r_1849_01_bed	tcga_06_0190_01a_01r_1849_01_bed	tcga_06_0174_01a_01r_1849_01_bed	tcga_06_0171_02a_11r_2005_01_bed	tcga_27_1835_01a_01r_1850_01_bed	tcga_06_2559_01a_01r_1849_01_bed	tcga_19_4065_01a_01r_2005_01_bed	tcga_06_2558_01a_01r_1849_01_bed	tcga_06_0184_01a_01r_1849_01_bed	tcga_14_0736_02a_01r_2005_01_bed	tcga_06_1804_01a_01r_1849_01_bed	tcga_06_0178_01a_01r_1849_01_bed	tcga_19_2619_01a_01r_1850_01_bed	tcga_06_0675_11a_32r_a36h_07_bed	tcga_76_4932_01a_01r_1850_01_bed	tcga_41_2572_01a_01r_1850_01_bed	tcga_02_0047_01a_01r_1849_01_bed	tcga_26_5132_01a_01r_1850_01_bed	tcga_26_5134_01a_01r_1850_01_bed	tcga_06_0130_01a_01r_1849_01_bed	tcga_06_0125_01a_01r_1849_01_bed	tcga_41_4097_01a_01r_1850_01_bed	tcga_26_1442_01a_01r_1850_01_bed	tcga_06_0882_01a_01r_1849_01_bed	tcga_12_0618_01a_01r_1849_01_bed	tcga_06_0125_02a_11r_2005_01_bed	tcga_26_5139_01a_01r_1850_01_bed	tcga_12_3652_01a_01r_1849_01_bed	tcga_32_1982_01a_01r_1850_01_bed	tcga_08_0386_01a_01r_1849_01_bed	tcga_14_1034_02b_01r_2005_01_bed	tcga_06_0644_01a_02r_1849_01_bed	tcga_19_1390_01a_01r_1850_01_bed	tcga_06_0210_02a_01r_2005_01_bed	tcga_06_5410_01a_01r_1849_01_bed	tcga_06_5859_01a_01r_1849_01_bed	tcga_06_5412_01a_01r_1849_01_bed	tcga_28_2509_01a_01r_1850_01_bed	tcga_19_2624_01a_01r_1850_01_bed	tcga_41_2571_01a_01r_1850_01_bed	tcga_06_0156_01a_02r_1849_01_bed	tcga_06_5413_01a_01r_1849_01_bed	tcga_06_0157_01a_01r_1849_01_bed	tcga_19_4065_02a_11r_2005_01_bed	tcga_06_0152_02a_01r_2005_01_bed	tcga_02_2483_01a_01r_1849_01_bed
ARHGEF7:ENSG00000102606:E42.1-E44.12|ENSG00000102606:E42.1-E45.1	0.01	0.04	0.11	0.75	0.07	0.05	0.0	0.14	0.07	0.03	0.08	0.02	0.02	0.1	0.02	0.0	0.1	0.14	0.22	0.03	0.07	0.09	0.12	0.17	0.09	0.03	0.04	0.03	0.25	0.03	0.06	0.05	0.58	0.32	0.1	0.0	0.76	0.12	0.06	0.05	0.0	0.06	0.82	0.16	0.0	0.03	0.29	0.1	0.18	0.2	0.0	0.09	0.03	0.09	0.02	0.03	0.05	0.0	0.02	0.16	0.2	0.01	0.06	0.09	0.01	0.05	0.04	0.07	0.17	0.14	0.07	0.77	0.03	0.02	0.07	0.0	0.02	0.04	0.17	0.0	0.06	0.29	0.1	0.13	0.01	0.16	0.04	0.14	0.12	0.0	0.02	0.44	0.02	0.23	0.04	0.22	0.11	0.03	0.07	0.01	0.02	0.19	0.06	0.08	0.11	0.43	0.04	0.18	0.11	0.03	0.09	0.13	0.05	0.03	0.1	0.0	0.18	0.57	0.26	0.41	0.06	0.67	0.0	0.56	0.02	0.02	0.1	0.05	0.0	0.07	0.22	0.04	0.01	0.11	0.02	0.35	0.1	0.18	0.19	0.24	0.04	0.79	0.03	0.01	0.22	0.04	0.05	0.02	0.02	0.26	0.35	0.15	0.46	0.05	0.05	0.06	0.07	0.12	0.07	0.01	0.06	0.1	0.11	0.05	0.08	0.01	0.25	0.55	0.15	0.11	0.07	0.42	0.14	0.2
GIT1:ENSG00000108262:E9.2-E9.4|ENSG00000108262:E8.4-E9.4	0.04	0.03	0.14	0.2	0.18	0.02	0.07	0.07	0.1	0.09	0.07	0.11	0.04	0.11	0.07	0.07	0.07	0.17	0.04	0.07	0.02	0.04	0.11	0.28	0.09	0.03	0.04	0.06	0.1	0.06	0.1	0.1	0.67	0.26	0.11	0.09	0.82	0.15	0.03	0.04	0.04	0.08	0.91	0.51	0.06	0.06	0.29	0.09	0.06	0.12	0.08	0.04	0.05	0.06	0.14	0.07	0.08	0.09	0.06	0.36	0.14	0.04	0.01	0.63	0.02	0.16	0.1	0.09	0.18	0.09	0.03	0.82	0.09	0.1	0.09	0.08	0.08	0.08	0.1	0.03	0.09	0.38	0.08	0.21	0.04	0.12	0.07	0.06	0.11	0.03	0.08	0.56	0.02	0.17	0.23	0.06	0.15	0.05	0.12	0.1	0.04	0.25	0.1	0.09	0.01	0.63	0.09	0.2	0.13	0.04	0.41	0.17	0.11	0.02	0.04	0.05	0.1	0.54	0.22	0.36	0.08	0.32	0.14	0.67	0.05	0.06	0.12	0.07	0.03	0.01	0.13	0.12	0.01	0.13	0.1	0.18	0.05	0.37	0.16	0.13	0.05	0.89	0.03	0.03	0.1	0.06	0.08	0.11	0.05	0.14	0.12	0.21	0.53	0.18	0.13	0.03	0.3	0.19	0.12	0.06	0.06	0.06	0.06	0.08	0.08	0.04	0.26	0.41	0.19	0.06	0.11	0.47	0.16	0.28
GIT1:ENSG00000108262:E8.4-E9.2|ENSG00000108262:E8.4-E9.4	0.04	0.05	0.12	0.25	0.18	0.01	0.08	0.05	0.08	0.09	0.09	0.06	0.05	0.18	0.04	0.1	0.09	0.14	0.05	0.06	0.02	0.12	0.11	0.28	0.06	0.03	0.05	0.06	0.1	0.06	0.09	0.08	0.68	0.34	0.08	0.1	0.86	0.13	0.01	0.06	0.01	0.1	0.93	0.54	0.06	0.08	0.26	0.09	0.03	0.11	0.06	0.05	0.04	0.05	0.14	0.06	0.07	0.07	0.06	0.36	0.12	0.04	0.04	0.66	0.02	0.12	0.13	0.08	0.16	0.05	0.05	0.85	0.11	0.0	0.17	0.05	0.1	0.0	0.1	0.0	0.09	0.36	0.07	0.39	0.05	0.12	0.04	0.08	0.13	0.03	0.05	0.6	0.02	0.21	0.12	0.1	0.18	0.03	0.14	0.09	0.03	0.23	0.07	0.09	0.02	0.61	0.06	0.22	0.06	0.04	0.44	0.14	0.11	0.01	0.03	0.05	0.07	0.54	0.21	0.37	0.09	0.3	0.08	0.7	0.03	0.03	0.15	0.06	0.03	0.0	0.1	0.07	0.01	0.12	0.09	0.26	0.08	0.33	0.11	0.13	0.05	0.92	0.04	0.02	0.11	0.05	0.12	0.17	0.06	0.16	0.1	0.25	0.53	0.21	0.15	0.03	0.27	0.18	0.11	0.07	0.05	0.05	0.07	0.09	0.09	0.04	0.21	0.42	0.19	0.05	0.11	0.46	0.17	0.19
GIT1:ENSG00000108262:E8.4-E9.4|ENSG00000108262:E8.4-E9.2	0.93	0.91	0.77	0.63	0.7	0.97	0.86	0.88	0.84	0.83	0.85	0.84	0.91	0.74	0.9	0.85	0.85	0.73	0.91	0.88	0.97	0.84	0.8	0.56	0.86	0.91	0.91	0.89	0.81	0.89	0.82	0.84	0.2	0.54	0.83	0.83	0.09	0.76	0.96	0.9	0.95	0.83	0.04	0.31	0.88	0.87	0.57	0.84	0.91	0.79	0.87	0.91	0.88	0.89	0.75	0.88	0.86	0.85	0.88	0.47	0.77	0.93	0.95	0.22	0.96	0.76	0.79	0.84	0.71	0.87	0.92	0.09	0.82	0.9	0.77	0.88	0.84	0.92	0.82	0.97	0.84	0.46	0.83	0.52	0.92	0.78	0.9	0.87	0.79	0.95	0.88	0.27	0.96	0.68	0.69	0.86	0.72	0.91	0.77	0.83	0.93	0.61	0.84	0.84	0.93	0.23	0.86	0.66	0.82	0.92	0.4	0.73	0.8	0.97	0.94	0.9	0.84	0.29	0.65	0.47	0.84	0.53	0.8	0.19	0.93	0.92	0.76	0.88	0.93	0.99	0.79	0.81	0.96	0.77	0.83	0.64	0.88	0.48	0.76	0.77	0.88	0.05	0.94	0.95	0.81	0.89	0.82	0.76	0.9	0.73	0.8	0.62	0.31	0.67	0.75	0.95	0.55	0.69	0.74	0.87	0.9	0.9	0.88	0.85	0.84	0.92	0.62	0.41	0.68	0.89	0.8	0.36	0.72	0.62
CAMTA2:ENSG00000108509:E22.1-E23.2|ENSG00000108509:E22.3-E23.2	0.96	0.97	0.86	0.48	0.71	0.98	0.95	0.79	0.62	0.94	0.77	0.99	0.86	0.81	0.94	0.95	0.86	0.84	0.92	0.92	0.86	0.86	0.75	0.74	0.91	0.95	0.26	0.84	0.85	1.0	0.92	0.64	0.21	0.35	0.76	0.99	0.07	0.95	0.94	0.93	0.95	0.88	0.08	0.38	0.88	1.0	0.61	0.81	0.93	0.73	0.94	0.9	0.97	0.76	0.97	0.96	0.77	0.99	0.97	0.51	0.76	0.9	0.93	0.23	1.0	0.7	0.85	0.79	0.6	1.0	0.72	0.11	0.89	0.93	0	0.84	1.0	0.91	0.96	0.97	0.92	0.45	0.95	0.9	0.89	0.83	0.93	0.79	0.66	0.99	0.95	0.19	0.95	0.56	0.71	0.89	0.76	0.95	0.75	0.93	0.96	0.58	0.94	0.78	0.93	0.23	0.67	0.83	0.94	0.95	0.37	0.53	0.81	0.98	0.89	0.9	0.78	0.16	0.43	0.5	0.83	0.3	0	0.27	0.96	0.98	0.82	0.93	0.93	0.94	0.81	0.88	0.94	0.93	0.9	0.46	0.96	0.49	0.64	0.69	0.91	0.06	0.97	0.97	0.67	0.95	1.0	0.94	0.88	0.75	0.63	0.54	0.37	0.71	0.72	0.93	0.82	0.73	0.89	0.99	0.99	0.96	0.83	0.84	0.85	0.97	0.64	0.43	0.71	0.93	0.86	0.31	0.68	0.75
CAMTA2:ENSG00000108509:E22.3-E23.2|ENSG00000108509:E22.1-E23.2	0.04	0.03	0.1	0.35	0.2	0.02	0.03	0.1	0.2	0.06	0.16	0.01	0.07	0.11	0.04	0.05	0.07	0.11	0.05	0.08	0.07	0.08	0.15	0.16	0.08	0.04	0.01	0.09	0.1	0.0	0.06	0.23	0.67	0.48	0.12	0.01	0.88	0.05	0.03	0.03	0.05	0.08	0.85	0.45	0.09	0.0	0.23	0.14	0.07	0.17	0.04	0.05	0.03	0.15	0.03	0.04	0.14	0.01	0.03	0.31	0.14	0.06	0.06	0.63	0.0	0.18	0.08	0.14	0.28	0.0	0.19	0.81	0.07	0.07	0	0.1	0.0	0.03	0.03	0.02	0.07	0.37	0.03	0.09	0.07	0.12	0.07	0.13	0.23	0.0	0.05	0.68	0.04	0.28	0.15	0.08	0.13	0.02	0.15	0.05	0.04	0.27	0.05	0.14	0.03	0.65	0.22	0.11	0.04	0.04	0.44	0.29	0.09	0.02	0.08	0.08	0.13	0.72	0.4	0.34	0.1	0.58	0	0.59	0.03	0.02	0.13	0.06	0.05	0.04	0.09	0.07	0.04	0.06	0.05	0.37	0.03	0.35	0.24	0.13	0.06	0.89	0.02	0.03	0.2	0.04	0.0	0.06	0.08	0.14	0.24	0.34	0.47	0.18	0.21	0.05	0.08	0.16	0.07	0.01	0.01	0.03	0.12	0.11	0.08	0.03	0.25	0.42	0.17	0.06	0.08	0.55	0.21	0.19
CAMTA2:ENSG00000108509:E22.1-E22.3|ENSG00000108509:E22.1-E23.2	0.0	0.0	0.06	0.35	0.14	0.0	0.01	0.14	0.16	0.0	0.11	0.0	0.07	0.1	0.01	0.0	0.07	0.06	0.03	0.0	0.07	0.08	0.14	0.13	0.02	0.01	0.01	0.08	0.06	0.0	0.02	0.21	0.64	0.48	0.15	0.0	0.87	0.0	0.03	0.04	0.01	0.05	0.84	0.44	0.05	0.0	0.25	0.07	0.0	0.15	0.02	0.05	0.0	0.12	0.0	0.0	0.12	0.0	0.0	0.34	0.14	0.05	0.02	0.62	0.0	0.17	0.08	0.09	0.22	0.0	0.14	0.8	0.05	0.0	0	0.08	0.0	0.06	0.01	0.02	0.02	0.39	0.02	0.02	0.05	0.07	0.0	0.11	0.18	0.01	0.0	0.67	0.01	0.28	0.18	0.04	0.14	0.03	0.13	0.02	0.0	0.25	0.01	0.11	0.05	0.61	0.17	0.07	0.02	0.01	0.49	0.32	0.12	0.0	0.03	0.02	0.11	0.73	0.41	0.33	0.09	0.49	0	0.56	0.02	0.0	0.07	0.02	0.02	0.02	0.12	0.06	0.02	0.02	0.06	0.37	0.01	0.33	0.2	0.23	0.04	0.89	0.01	0.01	0.19	0.02	0.0	0.0	0.05	0.15	0.21	0.25	0.44	0.16	0.11	0.02	0.12	0.16	0.05	0.0	0.0	0.01	0.07	0.06	0.08	0.0	0.18	0.37	0.17	0.02	0.07	0.5	0.17	0.1
ARHGEF17:ENSG00000110237:E2.1-E3.1|ENSG00000110237:E1.2-E3.1	0.04	0.0	0.09	0.21	0.0	0.05	0.0	0.19	0.12	0.0	0.0	0.02	0.02	0.0	0.01	0	0.17	0.1	0.03	0.01	0.33	0.02	0.11	0.09	0.06	0.03	0.0	0.06	0.03	0.04	0.04	0.08	0.53	0	0.0	0.06	0.63	0.17	0.17	0.0	0.0	0.05	0.56	0.19	0.02	0.02	0	0.04	0.06	0.17	0.05	0.0	0.07	0.17	0.0	0.06	0.07	0.0	0.01	0.18	0.1	0.13	0.05	0.05	0.0	0.09	0.04	0.04	0.15	0	0	0.56	0.08	0	0	0.05	0.01	0	0.06	0.0	0	0.33	0.02	0	0.05	0.06	0.04	0.04	0.1	0.07	0.02	0.39	0.13	0.15	0	0.06	0.11	0.02	0.08	0.23	0.0	0.15	0.02	0.15	0.06	0.29	0.03	0.0	0.05	0.12	0.14	0.09	0.06	0.0	0.04	0.01	0.11	0.28	0.15	0.06	0.18	0	0	0.48	0.01	0.0	0.04	0.05	0.0	0.01	0.04	0.04	0.0	0.03	0.2	0.11	0.0	0.42	0.11	0.14	0.04	0.67	0.0	0.03	0.06	0.02	0.1	0.0	0.01	0.1	0.06	0.12	0.39	0.11	0.09	0.27	0.08	0.08	0.11	0.02	0.12	0.0	0.0	0.02	0.04	0.04	0.09	0.29	0.17	0.04	0.0	0.16	0.14	0.17
MADD:ENSG00000110514:E46.1-E50.2|ENSG00000110514:E49.1-E50.2	0.02	0.05	0.07	0.16	0.12	0.13	0.06	0.07	0.03	0.02	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.08	0.03	0.05	0.08	0.07	0.1	0.12	0.04	0.04	0.06	0.05	0.07	0.05	0.03	0.09	0.27	0.12	0.06	0.04	0.39	0.04	0.06	0.07	0.03	0.09	0.43	0.19	0.04	0.08	0.15	0.02	0.06	0.1	0.03	0.02	0.06	0.09	0.05	0.04	0.07	0.05	0.04	0.2	0.03	0.05	0.07	0.04	0.05	0.09	0.08	0.04	0.09	0.11	0.07	0.39	0.06	0.07	0.08	0.1	0.01	0.12	0.04	0.04	0.09	0.22	0.05	0.08	0.01	0.04	0.05	0.12	0.16	0.03	0.03	0.32	0.05	0.15	0.18	0.05	0.06	0.05	0.14	0.04	0.07	0.11	0.02	0.06	0.01	0.37	0.08	0.07	0.05	0.03	0.09	0.12	0.02	0.04	0.06	0.03	0.07	0.27	0.2	0.17	0.03	0.16	0.04	0.37	0.04	0.02	0.11	0.07	0.04	0.03	0.09	0.06	0.01	0.03	0.03	0.18	0.04	0.33	0.13	0.03	0.03	0.43	0.03	0.08	0.17	0.05	0.04	0.04	0.03	0.15	0.1	0.21	0.17	0.13	0.07	0.01	0.1	0.1	0.05	0.06	0.02	0.06	0.08	0.02	0.09	0.02	0.09	0.06	0.06	0.03	0.06	0.25	0.16	0.05
MADD:ENSG00000110514:E38.1-E40.1|ENSG00000110514:E39.1-E40.1	0.98	0.91	0.9	0.39	0.72	0.96	0.99	0.81	0.86	1.0	0.81	0.98	0.91	0.79	0.96	0.8	0.89	0.64	0.88	0.99	0.91	0.7	0.51	0.45	0.82	0.88	0.96	0.99	0.8	0.96	0.89	0.7	0.14	0.38	0.72	0.79	0.05	0.79	0.94	0.79	0.98	0.85	0.04	0.26	0.98	0.9	0.77	0.82	1.0	0.55	0.96	0.97	0.96	0.93	0.95	0.9	0.81	1.0	0.94	0.47	0.74	0.78	0.97	0.5	0.89	0.68	0.83	0.84	0.61	0	0.87	0.06	0.94	0	0	0.77	0.97	0.92	0.88	0.94	0.74	0.4	0.97	0.9	1.0	0.56	0.99	0.81	0.63	1.0	0.97	0.16	0.79	0.44	0.7	0.79	0.73	0.95	0.85	0.98	0.94	0.67	0.95	0.73	0.96	0.19	0.74	0.75	0.84	0.82	0.45	0.62	0.84	0.97	0.88	0.95	0.59	0.19	0.44	0.39	0.91	0.43	0	0.18	1.0	0.96	0.86	0.84	0.97	0.93	0.65	0.96	0.89	0.84	0.88	0.57	1.0	0.32	0.76	0.82	0.88	0.05	0.94	0.94	0.52	0.95	1.0	0.93	0.86	0.61	0.52	0.5	0.25	0.71	0.75	0.95	0.67	0.6	0.72	1.0	0.97	0.96	0.81	0.89	0.63	0.98	0.67	0.44	0.66	0.8	0.94	0.26	0.47	0.64
MADD:ENSG00000110514:E46.1-E49.1|ENSG00000110514:E46.1-E50.2	0.93	0.91	0.81	0.54	0.77	0.72	0.87	0.86	0.88	0.94	0.94	0.89	0.9	0.84	0.93	0.91	0.9	0.84	0.9	0.83	0.85	0.83	0.69	0.69	0.89	0.89	0.87	0.86	0.84	0.9	0.84	0.76	0.31	0.69	0.89	0.92	0.2	0.87	0.84	0.82	0.92	0.75	0.18	0.42	0.89	0.84	0.78	0.95	0.88	0.71	0.88	0.92	0.88	0.83	0.78	0.87	0.84	0.87	0.88	0.66	0.81	0.88	0.83	0.17	0.9	0.78	0.85	0.93	0.8	0.79	0.88	0.18	0.89	0.87	0.8	0.81	0.94	0.71	0.89	0.9	0.84	0.6	0.91	0.84	0.91	0.9	0.87	0.77	0.69	0.95	0.91	0.31	0.87	0.62	0.58	0.91	0.85	0.87	0.74	0.84	0.87	0.74	0.97	0.88	0.96	0.26	0.78	0.81	0.89	0.94	0.49	0.68	0.92	0.9	0.76	0.93	0.75	0.31	0.66	0.63	0.89	0.75	0.93	0.42	0.9	0.96	0.75	0.84	0.92	0.94	0.74	0.88	0.82	0.9	0.87	0.68	0.91	0.2	0.73	0.89	0.93	0.14	0.92	0.81	0.71	0.87	0.81	0.9	0.94	0.67	0.71	0.65	0.34	0.79	0.87	0.98	0.7	0.8	0.89	0.87	0.95	0.84	0.85	0.95	0.83	0.93	0.64	0.47	0.78	0.9	0.86	0.38	0.72	0.87
MADD:ENSG00000110514:E39.1-E40.1|ENSG00000110514:E38.1-E40.1	0.0	0.07	0.03	0.45	0.16	0.02	0.0	0.12	0.08	0.0	0.11	0.02	0.06	0.12	0.02	0.14	0.06	0.21	0.07	0.0	0.09	0.12	0.36	0.39	0.14	0.03	0.02	0.0	0.1	0.02	0.05	0.18	0.76	0.37	0.0	0.11	0.91	0.09	0.05	0.08	0.0	0.09	0.93	0.6	0.01	0.05	0.13	0.12	0.0	0.37	0.02	0.02	0.03	0.07	0.02	0.03	0.06	0.0	0.03	0.35	0.09	0.09	0.02	0.31	0.08	0.21	0.09	0.1	0.24	0	0.1	0.9	0.02	0	0	0.12	0.01	0.0	0.02	0.04	0.14	0.42	0.0	0.0	0.0	0.33	0.01	0.11	0.26	0.0	0.02	0.71	0.08	0.43	0.15	0.1	0.17	0.01	0.1	0.0	0.03	0.19	0.02	0.14	0.02	0.7	0.13	0.06	0.1	0.07	0.35	0.29	0.08	0.0	0.03	0.0	0.22	0.63	0.41	0.43	0.05	0.43	0	0.71	0.0	0.0	0.08	0.12	0.0	0.05	0.23	0.0	0.03	0.06	0.07	0.29	0.0	0.59	0.11	0.05	0.09	0.91	0.04	0.06	0.31	0.04	0.0	0.02	0.08	0.27	0.31	0.27	0.56	0.17	0.18	0.05	0.26	0.21	0.17	0.0	0.01	0.0	0.12	0.07	0.28	0.0	0.16	0.36	0.2	0.14	0.02	0.54	0.35	0.21
MADD:ENSG00000110514:E34.2-E35.1|ENSG00000110514:E31.1-E35.1	0.0	0.04	0.09	0.44	0.11	0.06	0.04	0.19	0.11	0.0	0.11	0.07	0.03	0.09	0.0	0.18	0.11	0.1	0.08	0.03	0.0	0.1	0.24	0.22	0.12	0.11	0.03	0.05	0.05	0.03	0.08	0.2	0.67	0.41	0.12	0.03	0.86	0.06	0.06	0.05	0.0	0.1	0.78	0.3	0.07	0	0.27	0.18	0.0	0.38	0.0	0.05	0.03	0.0	0.01	0.12	0.2	0.0	0.02	0.4	0.07	0.03	0.0	0.17	0.02	0.2	0.05	0.07	0.29	0	0.23	0.85	0.06	0	0	0.05	0.02	0.22	0.11	0.0	0.0	0.49	0.03	0.1	0.09	0.17	0.03	0.08	0.15	0.1	0.04	0.65	0.09	0.24	0.25	0.13	0.14	0.02	0.06	0.06	0.0	0.23	0.0	0.11	0.03	0.61	0.14	0.19	0.07	0.0	0.17	0.33	0.07	0.03	0.04	0.05	0.2	0.59	0.33	0.23	0.19	0.4	0	0.7	0.03	0.05	0.1	0.04	0.0	0.0	0.08	0.0	0.2	0.05	0.0	0.17	0.0	0.22	0.12	0.38	0.04	0.84	0.08	0.08	0.33	0.06	0	0.03	0.16	0.15	0.3	0.3	0.54	0.2	0.12	0.0	0.6	0.23	0.18	0.0	0.04	0.07	0.23	0.03	0.12	0.0	0.25	0.39	0.14	0.06	0.11	0.45	0.47	0.11
